06-06 23:54:26.256  1612 21259 V FA-SVC  :   bundle {
06-06 23:54:26.256  1612 21259 V FA-SVC  :     protocol_version: 1
06-06 23:54:26.256  1612 21259 V FA-SVC  :     platform: android
06-06 23:54:26.256  1612 21259 V FA-SVC  :     gmp_version: 169000
06-06 23:54:26.256  1612 21259 V FA-SVC  :     uploading_gmp_version: 262031
06-06 23:54:26.256  1612 21259 V FA-SVC  :     dynamite_version: 193
06-06 23:54:26.256  1612 21259 V FA-SVC  :     config_version: 1780654523761815
06-06 23:54:26.256  1612 21259 V FA-SVC  :     gmp_app_id: 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:26.256  1612 21259 V FA-SVC  :     app_id: com.izzes.nearsdelivery
06-06 23:54:26.256  1612 21259 V FA-SVC  :     app_version: 1.0.0
06-06 23:54:26.256  1612 21259 V FA-SVC  :     app_version_major: 1
06-06 23:54:26.256  1612 21259 V FA-SVC  :     firebase_instance_id: eVTuPcOmTEWagZhf5itYCe
06-06 23:54:26.256  1612 21259 V FA-SVC  :     dev_cert_hash: -2323482182238213056
06-06 23:54:26.256  1612 21259 V FA-SVC  :     app_store: manual_install
06-06 23:54:26.256  1612 21259 V FA-SVC  :     upload_timestamp_millis: 1780775666174
06-06 23:54:26.256  1612 21259 V FA-SVC  :     start_timestamp_millis: 1780775665671
06-06 23:54:26.256  1612 21259 V FA-SVC  :     end_timestamp_millis: 1780775665671
06-06 23:54:26.256  1612 21259 V FA-SVC  :     previous_bundle_start_timestamp_millis: 1780775661587
06-06 23:54:26.256  1612 21259 V FA-SVC  :     previous_bundle_end_timestamp_millis: 1780775664133
06-06 23:54:26.256  1612 21259 V FA-SVC  :     app_instance_id: 7e4c350c3f29447117f6c94a515e80dc
06-06 23:54:26.256  1612 21259 V FA-SVC  :     resettable_device_id: 966b18bd-dd73-4b75-9a0d-51c22a07fe1d
06-06 23:54:26.256  1612 21259 V FA-SVC  :     ds_id: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :     limited_ad_tracking: false
06-06 23:54:26.256  1612 21259 V FA-SVC  :     os_version: 17
06-06 23:54:26.256  1612 21259 V FA-SVC  :     device_model: sdk_gphone16k_arm64
06-06 23:54:26.256  1612 21259 V FA-SVC  :     user_default_language: en-us
06-06 23:54:26.256  1612 21259 V FA-SVC  :     time_zone_offset_minutes: 240
06-06 23:54:26.256  1612 21259 V FA-SVC  :     bundle_sequential_index: 7
06-06 23:54:26.256  1612 21259 V FA-SVC  :     delivery_index: 4
06-06 23:54:26.256  1612 21259 V FA-SVC  :     service_upload: true
06-06 23:54:26.256  1612 21259 V FA-SVC  :     health_monitor: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :     consent_signals: G1--
06-06 23:54:26.256  1612 21259 V FA-SVC  :     is_dma_region: false
06-06 23:54:26.256  1612 21259 V FA-SVC  :     consent_diagnostics: 19911
06-06 23:54:26.256  1612 21259 V FA-SVC  :     target_os_version: 36
06-06 23:54:26.256  1612 21259 V FA-SVC  :     ad_services_version: 0
06-06 23:54:26.256  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:26.256  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775367834
06-06 23:54:26.256  1612 21259 V FA-SVC  :       name: first_open_time(_fot)
06-06 23:54:26.256  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :       int_value: 1780776000000
06-06 23:54:26.256  1612 21259 V FA-SVC  :     }
06-06 23:54:26.256  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:26.256  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775367834
06-06 23:54:26.256  1612 21259 V FA-SVC  :       name: first_open_after_install(_fi)
06-06 23:54:26.256  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :       int_value: 0
06-06 23:54:26.256  1612 21259 V FA-SVC  :     }
06-06 23:54:26.256  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:26.256  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775666175
06-06 23:54:26.256  1612 21259 V FA-SVC  :       name: lifetime_user_engagement(_lte)
06-06 23:54:26.256  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :       int_value: 8894
06-06 23:54:26.256  1612 21259 V FA-SVC  :     }
06-06 23:54:26.256  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:26.256  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775666176
06-06 23:54:26.256  1612 21259 V FA-SVC  :       name: non_personalized_ads(_npa)
06-06 23:54:26.256  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:26.256  1612 21259 V FA-SVC  :       int_value: 0
06-06 23:54:26.256  1612 21259 V FA-SVC  :     }
06-06 23:54:26.256  1612 21259 V FA-SVC  :     event {
06-06 23:54:26.256  1612 21259 V FA-SVC  :       name: screen_view(_vs)
06-06 23:54:26.256  1612 21259 V FA-SVC  :       timestamp_millis: 1780775665671
06-06 23:54:26.256  1612 21259 V FA-SVC  :       corrected_timestamp_millis: 1780775670118
